Rank,Title,Duration,Genre,Star,Description,Votes
82,Uchu Senkan Yamato 2199,(2012–2013),"Animation, Action, Adventure",8.1,"In the year 2199, the space battleship Yamato embarks on a voyage to the planet Iscandar, to retrieve a device that will rejuvenate a war-ravaged Earth.","1,058"
83,Initial D: Second Stage,(1999–2000),"Animation, Action, Comedy",8.2,"Accumulating an impressive series of victories with his AE86, Takumi Fujiwara has imposed himself as street racing's newest rising star. However, his newly found confidence of winning at ...                See full summary »","1,519"
84,Haibane Renmei,(2002),"Animation, Drama, Fantasy",8,"A young girl is reborn as an angel-like creature called a haibane, with no memory of who she once was.","3,901"
85,Hinamatsuri,(2018),"Animation, Comedy, Fantasy",7.9,A vortex drops a being from another world into a yakuza's life - a life that's about to be greatly changed.,"2,198"
86,"Ima, soko ni iru boku",(1999–2000),"Animation, Action, Adventure",7.9,"A Japanese boy named Shu tries to save a strange girl, Lala Ru, from kidnappers and is transported to an alternate Earth on the brink of being swallowed by the sun. There he meets an ...                See full summary »","1,837"
87,Kaiba,(2008),"Animation, Adventure, Drama",8.1,"In a futuristic dystopian world where memories are literally stored, bought and sold and rich have all the privileges, a young amnesiac is trying to find out who he is.","1,833"
88,Chôjikû Yôsai Macross,(1982–2002),"Animation, Action, Adventure",8.5,An alien spaceship crash lands on Earth and her secrets lead to a desperate war against an alien enemy sent to retrieve the ship.,"2,209"
89,12 kokuki,(2002–2003),"Animation, Adventure, Drama",8,High school student Youko Nakajima is approached by a strange man who claims he's been searching for her and that she is the rightful ruler of his kingdom.,"2,095"
90,Mezon Ikkoku,(1986–1988),"Animation, Comedy, Drama",8.2,The misadventures of a young student and his landlady's romance.,"1,161"
91,One Outs,(2008–2009),"Animation, Drama, Sport",8.3,"Hiromichi Kojima, the star batter of the Lycaons, heads to the southern Japanese island of Okinawa to train and find a new pitcher for the team. There, he meets Toa Tokuchi, a 134-kmph ...                See full summary »","1,731"
92,Gankutsu-ô,(2004–2005),"Animation, Drama, Mystery",7.9,"Trying to escape his uneventful life, Albert, the son of a renowned general from Paris, makes a journey with his friend Franz. During his travels, he meets an immensely wealthy nobleman ...                See full summary »","2,616"
93,Romio no aoi sora,(1995),"Animation, Adventure, Drama",8.6,The adventures of a young Swiss boy working as a chimney sweeper in Milan.,"1,223"
94,Higurashi no naku koro ni: Kai,(2007),"Animation, Drama, Horror",8.1,"In this continuation of the hit horror anime, secrets are revealed as Rika Furude desperately attempts to save Hinamizawa and her friends from their tragic fate","2,565"
95,Initial D: Fourth Stage,(2004–2006),"Animation, Action, Drama",8.2,"Takumi Fujiwara continues his undefeated racing streak, touring the mountain passes of Japan with rival driver Keisuke Takahashi as a part of ex-racer Ryosuke Takahashi's racing team: ""Project D"".","1,277"
96,Shirobako,(2014– ),"Animation, Comedy, Drama",8,A group of friends move to Tokyo and get jobs in the anime industry.,"1,050"
97,Initial D: Final Stage,(2014),"Animation, Action, Sport",8.5,"After defeating every racing team, everything comes down to one last race. Will Project D succeed in the final and most difficult race of Initial D. And what is going to be the future of Project D after this final race.",683
98,Last Exile,(2003),"Animation, Action, Adventure",7.8,"In a world of airships and civil war, two messengers come across a special girl who will change the course of history.","3,746"
99,Space Cobra,(1982–1983),"Animation, Action, Adventure",8.4,"In the 24th Century, space pirate Cobra, a womanizing vagabond with a mysterious past and a powerful ""psychogun"" for a hand, fights the galaxy spanning crime syndicate, The Pirate Guild.",815
100,Hai Sukoa Garu,(2018–2019),"Animation, Comedy, Romance",8,The funny and romantic misadventures of a couple of kids passionate about arcade games in 1991 Japan.,"2,180"
